"Source:","C:\Users\sda\Desktop\Projekte\PlasmaSolution (MSCA)\Device construction\Power supplies\Flyback driver Cool-Tip v1.0.0\Flyback driver Cool-Tip v0.1.3\Flyback driver Cool-Tip.sch"
"Date:","03.03.2020 19:04:55"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","UF4007","Diode:UF5408","Diode_THT:D_DO-201AD_P5.08mm_Vertical_AnodeUp","http://www.vishay.com/docs/88756/uf5400.pdf"
"","","J1","+24V","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","J2","+5..20V","Connector_Generic:Conn_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"","","J3","PWM IN","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","J4","TRAFO","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","J3A1","DuPoint_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","Q1","TIP41C","Transistor_BJT:TIP41C","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=tip41.PDF"
"","","Q2","IPW60","Transistor_IGBT:IRG4PF50W","Package_TO_SOT_THT:TO-247-3_Vertical","http://www.irf.com/product-info/datasheets/data/irg4pf50w.pdf"
"","","R1","330R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"","","R2","47R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"","","R3","4R7","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"","","U1","L7812","Regulator_Linear:L7812","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"","","Z1","ZD20","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","~"
"","","Z2","ZD5","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","D1","UF4007","Diode:UF5408","Diode_THT:D_DO-201AD_P5.08mm_Vertical_AnodeUp","http://www.vishay.com/docs/88756/uf5400.pdf"
"2","1","J1","+24V","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"3","1","J2","+5..20V","Connector_Generic:Conn_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"4","1","J3","PWM IN","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"5","1","J4","TRAFO","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"6","1","J3A1","DuPoint_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"7","1","Q1","TIP41C","Transistor_BJT:TIP41C","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=tip41.PDF"
"8","1","Q2","IPW60","Transistor_IGBT:IRG4PF50W","Package_TO_SOT_THT:TO-247-3_Vertical","http://www.irf.com/product-info/datasheets/data/irg4pf50w.pdf"
"9","1","R1","330R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"10","1","R2","47R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"11","1","R3","4R7","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"12","1","U1","L7812","Regulator_Linear:L7812","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"13","1","Z1","ZD20","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","~"
"14","1","Z2","ZD5","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","~"
